Name,Scholar Link,DBLP Link,Enabled,Exclusion Reason
Andrew Rau-Chaplin,https://scholar.google.com/citations?user=-PvfVhgAAAAJ,https://dblp.org/pid/r/ARauChaplin,true,
Raza Abidi,https://scholar.google.com/citations?user=fzr2PUYAAAAJ,https://dblp.org/pid/53/914,true,
Dirk Arnold,https://scholar.google.com/citations?user=NsIbm80AAAAJ,https://dblp.org/pid/09/3538,true,
Robert Beiko,https://scholar.google.com/citations?user=OmUy3vUAAAAJ,https://dblp.org/pid/57/5209,true,
James Blustein,https://scholar.google.com/citations?user=7g6iU9QAAAAJ,https://dblp.org/pid/90/3060,true,
Peter Bodorik,https://scholar.google.com/citations?user=wBYq09wAAAAJ,https://dblp.org/pid/b/PBodorik,true,
FE Bordeleau,https://scholar.google.com/citations?user=8Bug6mIAAAAJ,https://dblp.uni-trier.de/pid/220/4659,true,
Alexander Brandt,https://scholar.google.com/citations?user=OMA_KjcAAAAJ,https://dblp.org/pid/212/2325,true,
Stephen Brooks,,https://dblp.org/pid/42/3005,true,
Lizbeth Escobedo,https://scholar.google.com/citations?user=lPSfdqAAAAAJ,https://dblp.org/pid/97/11301,true,
Richard Evans,https://scholar.google.com/citations?user=NqlOPkMAAAAJ,https://dblp.org/pid/78/9937,true,
Travis Gagie,https://scholar.google.com/citations?user=aFCoq2YAAAAJ,https://dblp.org/pid/00/3487,true,
Israat Haque,https://scholar.google.com/citations?user=PMTOOSQAAAAJ,https://dblp.org/pid/209/8668,true,
Meng He,https://scholar.google.com/citations?user=4yj_9skAAAAJ,https://dblp.org/pid/14/1268,true,
Carlos Hernandez-Castillo,https://scholar.google.com/citations?user=rSrWYaIAAAAJ,https://dblp.org/pid/227/7560,true,
Malcolm Heywood,https://scholar.google.com/citations?user=_d-AGjUAAAAJ,https://dblp.org/pid/35/5521,true,
Vlado Keselj,https://scholar.google.com/citations?user=uDKsmuIAAAAJ,https://dblp.org/pid/32/5995,true,
Marta Kryven,https://scholar.google.com/citations?user=5ogGlooAAAAJ,https://dblp.org/pid/134/5551,true,
Samer Lahoud,https://scholar.google.com/citations?user=Fnkc3a4AAAAJ,https://dblp.org/pid/82/4450,true,
Finlay Maguire,https://scholar.google.com/citations?user=rHFCtWwAAAAJ,https://dblp.org/pid/276/1267,true,
Joseph Malloch,https://scholar.google.com/citations?user=iQa0leoAAAAJ,https://dblp.org/pid/35/2919,true,
Manuel Mattheisen,https://scholar.google.com/citations?user=uhlDFm4AAAAJ,https://dblp.org/pid/07/5385,true,
Michael McAllister,,https://dblp.org/pid/80/1712,true,
Evangelos Milios,https://scholar.google.com/citations?user=ME8aQywAAAAJ,https://dblp.org/pid/m/EvangelosEMilios,true,
Suresh Neethirajan,https://scholar.google.com/citations?user=8VZwF0sAAAAJ,https://dblp.org/pid/186/9538,true,
Oladapo Oyebode,https://scholar.google.com/citations?user=-6DsTnMAAAAJ,https://dblp.org/pid/234/1108,true,
Sageev Oore,https://scholar.google.com/citations?user=cI0dYX4AAAAJ,https://dblp.org/pid/67/4980,true,
Rita Orji,https://scholar.google.com/citations?user=-1cHtBQAAAAJ,https://dblp.org/pid/116/7161,true,
Eric Poitras,https://scholar.google.com/citations?user=TNaVSQwAAAAJ,https://dblp.org/pid/254/7142,true,
Janarthanan Rajendran,https://scholar.google.com/citations?user=-novlhIAAAAJ,https://dblp.org/pid/169/9942,true,
Masud Rahman,https://scholar.google.com/citations?user=9SrqOewAAAAJ,https://dblp.org/pid/137/6268,true,
Paul Ralph,https://scholar.google.com/citations?user=oRBuFa0AAAAJ,https://dblp.org/pid/71/2904,true,
Derek Reilly,https://scholar.google.com/citations?user=fZ56s2EAAAAJ,https://dblp.org/pid/25/630,true,
Anthony Rosborough,https://scholar.google.com/citations?user=kG4oQmsAAAAJ,,true,
Frank Rudzicz,https://scholar.google.com/citations?user=elXOB1sAAAAJ,https://dblp.org/pid/36/6505,true,
Hassan Sajjad,https://scholar.google.com/citations?user=t3BH6NkAAAAJ,https://dblp.org/pid/73/5938,true,
Srinivas Sampalli,https://scholar.google.com/citations?user=UCVetfAAAAAJ,https://dblp.org/pid/s/SrinivasSampalli,true,
Hanieh Shakeri,https://scholar.google.com/citations?user=iriAIgsAAAAJ,https://dblp.org/pid/207/3927,true,
Tushar Sharma,https://scholar.google.com/citations?user=VHjAIe8AAAAJ,https://dblp.org/pid/75/8719-1,true,
