Name,Scholar Link,DBLP Link
Gabriel Spadon,https://scholar.google.com/citations?user=bfdGsGUAAAAJ,https://dblp.org/pid/192/1659
Nils Wilde,https://scholar.google.com/citations?user=lkAmFEEAAAAJ,https://dblp.org/pid/226/6412
Marta Kryven,https://scholar.google.com/citations?user=5ogGlooAAAAJ,https://dblp.org/pid/134/5551
FE Bordeleau,https://scholar.google.com/citations?user=8Bug6mIAAAAJ,https://dblp.uni-trier.de/pid/220/4659
Hanieh Shakeri,https://scholar.google.com/citations?user=iriAIgsAAAAJ,https://dblp.org/pid/207/3927
Oladapo Oyebode,https://scholar.google.com/citations?user=-6DsTnMAAAAJ,https://dblp.org/pid/234/1108
Andrew Rau-Chaplin,https://scholar.google.com/citations?user=-PvfVhgAAAAJ,https://dblp.org/pid/r/ARauChaplin
Raza Abidi,https://scholar.google.com/citations?user=fzr2PUYAAAAJ,https://dblp.org/pid/53/914
Dirk Arnold,https://scholar.google.com/citations?user=NsIbm80AAAAJ,https://dblp.org/pid/09/3538
Robert Beiko,https://scholar.google.com/citations?user=OmUy3vUAAAAJ,https://dblp.org/pid/57/5209
James Blustein,https://scholar.google.com/citations?user=7g6iU9QAAAAJ,https://dblp.org/pid/90/3060
Peter Bodorik,https://scholar.google.com/citations?user=wBYq09wAAAAJ,https://dblp.org/pid/b/PBodorik
Alexander Brandt,https://scholar.google.com/citations?user=OMA_KjcAAAAJ,https://dblp.org/pid/212/2325
Stephen Brooks,,https://dblp.org/pid/42/3005
Lizbeth Escobedo,https://scholar.google.com/citations?user=lPSfdqAAAAAJ,https://dblp.org/pid/97/11301
Richard Evans,https://scholar.google.com/citations?user=NqlOPkMAAAAJ,https://dblp.org/pid/78/9937
Travis Gagie,https://scholar.google.com/citations?user=aFCoq2YAAAAJ,https://dblp.org/pid/00/3487
Israat Haque,https://scholar.google.com/citations?user=PMTOOSQAAAAJ,https://dblp.org/pid/209/8668
Meng He,https://scholar.google.com/citations?user=4yj_9skAAAAJ,https://dblp.org/pid/14/1268
Carlos Hernandez-Castillo,https://scholar.google.com/citations?user=rSrWYaIAAAAJ,https://dblp.org/pid/227/7560
Malcolm Heywood,https://scholar.google.com/citations?user=_d-AGjUAAAAJ,https://dblp.org/pid/35/5521
Vlado Keselj,https://scholar.google.com/citations?user=uDKsmuIAAAAJ,https://dblp.org/pid/32/5995
